date,up_count,down_count,flat_count,limit_up,limit_down,red_ratio,touch_down,zt_fail_count,hb_wave10,median_chg,avg_price,connect_hl,connect_2b,fc_ratio,zt_fail_ratio,zt_prev_ret
2008-02-25,142.0,1098.0,14.0,12.0,20.0,11.451612903225806,,,,,,,,,,
2008-02-26,737.0,486.0,42.0,10.0,4.0,60.26165167620605,,,,,,,,,,
2008-02-27,1185.0,73.0,15.0,21.0,0.0,94.19713831478538,,,,,,,,,,
2008-02-28,614.0,591.0,64.0,11.0,0.0,50.95435684647303,,,,,,,,,,
2008-02-29,1007.0,209.0,47.0,15.0,0.0,82.8125,,,,,,,,,,
2008-03-03,1227.0,34.0,9.0,47.0,0.0,97.3037272006344,,,,,,,,,,
2008-03-04,398.0,833.0,42.0,16.0,0.0,32.331437855402115,,,,,,,,,,
2008-03-05,619.0,604.0,45.0,27.0,1.0,50.61324611610794,,,,,,,,,,
2008-03-06,700.0,516.0,50.0,17.0,0.0,57.56578947368421,,,,,,,,,,
2008-03-07,240.0,1000.0,29.0,5.0,3.0,19.35483870967742,,,,,,,,,,
2008-03-10,115.0,1140.0,12.0,3.0,9.0,9.163346613545816,,,,,,,,,,
2008-03-11,910.0,318.0,42.0,6.0,0.0,74.1042345276873,,,,,,,,,,
2008-03-12,158.0,1077.0,25.0,5.0,7.0,12.79352226720648,,,,,,,,,,
2008-03-13,146.0,1111.0,12.0,3.0,24.0,11.614956245027845,,,,,,,,,,
2008-03-14,496.0,714.0,60.0,1.0,10.0,40.99173553719008,,,,,,,,,,
2008-03-17,26.0,1235.0,1.0,2.0,445.0,2.061855670103093,,,,,,,,,,
2008-03-18,26.0,1236.0,1.0,2.0,313.0,2.060221870047544,,,,,,,,,,
2008-03-19,1162.0,102.0,7.0,74.0,1.0,91.93037974683544,,,,,,,,,,
2008-03-20,1179.0,63.0,15.0,60.0,1.0,94.92753623188406,,,,,,,,,,
2008-03-21,847.0,327.0,84.0,26.0,1.0,72.1465076660988,,,,,,,,,,
